initiative_id,company,name,category,start_date,investment,annual_revenue_impact,irr,status
INIT-001,cloudcrm_inc,M&A Initiative 1,M&A,2026-08-01,1818978.9777948456,4871779.554826443,0.49395123984432304,In Progress
INIT-002,cloudcrm_inc,Product Initiative 2,Product,2026-10-01,2288732.251175105,3978096.644447044,0.18879058000415513,Planning
INIT-003,cloudcrm_inc,M&A Initiative 3,M&A,2026-07-01,1067256.2660092115,3395594.1250753654,0.2354867411859582,Completed
INIT-004,manufacturetech_co,CapEx Initiative 4,CapEx,2026-03-01,5775838.747509445,11593164.996953508,0.41860106640656064,Evaluation
INIT-005,manufacturetech_co,Go-To-Market Initiative 5,Go-To-Market,2026-05-01,2782280.3986228383,6268307.928550454,0.2596726077316368,In Progress
INIT-006,manufacturetech_co,Go-To-Market Initiative 6,Go-To-Market,2026-05-01,4465365.771369821,8983416.763059346,0.3612858129881056,Planning
INIT-007,healthcaretech,CapEx Initiative 7,CapEx,2026-02-01,2617939.5099377325,5755143.952884534,0.2982051726256364,Evaluation
INIT-008,healthcaretech,CapEx Initiative 8,CapEx,2026-02-01,2953261.8754502404,5691036.829771576,0.243260896996636,Evaluation
INIT-009,healthcaretech,M&A Initiative 9,M&A,2026-12-01,1793388.6606027079,3211652.9916768596,0.4904374036538983,Evaluation
INIT-010,ecommerce_logistics,CapEx Initiative 10,CapEx,2026-02-01,9419495.256430184,21128260.223415233,0.22340051712234027,In Progress
INIT-011,ecommerce_logistics,Go-To-Market Initiative 11,Go-To-Market,2026-11-01,8199575.36512386,28344818.41705813,0.47999397516771347,In Progress
INIT-012,ecommerce_logistics,CapEx Initiative 12,CapEx,2026-12-01,4844917.980829449,17468275.84636665,0.24697794426694675,Planning
INIT-013,fintech_payments,Go-To-Market Initiative 13,Go-To-Market,2026-03-01,1236244.2772234387,4697852.040275721,0.3880816227499717,In Progress
INIT-014,fintech_payments,Go-To-Market Initiative 14,Go-To-Market,2026-08-01,994376.2029156132,2329854.49383822,0.30872333237873345,Completed
INIT-015,fintech_payments,Go-To-Market Initiative 15,Go-To-Market,2026-05-01,767175.0650064909,1919798.688616762,0.292227132157467,Evaluation
INIT-016,industrial_services,Product Initiative 16,Product,2026-09-01,5256859.129802151,12702558.584488986,0.29947301153018613,In Progress
INIT-017,industrial_services,Product Initiative 17,Product,2026-12-01,11238065.946022572,22205906.59235299,0.2973510107500157,In Progress
INIT-018,industrial_services,M&A Initiative 18,M&A,2026-09-01,4910816.785125093,19470580.338466637,0.4298182639001159,In Progress
